time,open,high,low,close,tick_volume
2026-06-21 14:00:00,14401.315,14409.821,14384.948,14389.526,3527
2026-06-21 15:00:00,14389.517,14402.819,14369.535,14402.353,3516
2026-06-21 16:00:00,14402.339,14472.693,14395.898,14464.751,3530
2026-06-21 17:00:00,14464.737,14464.737,14423.774,14443.567,3544
2026-06-21 18:00:00,14443.554,14465.379,14429.58,14438.174,3523
2026-06-21 19:00:00,14438.137,14438.137,14394.191,14397.013,3529
2026-06-21 20:00:00,14396.998,14421.418,14373.125,14414.829,3540
2026-06-21 21:00:00,14414.828,14506.432,14408.037,14500.465,3542
2026-06-21 22:00:00,14500.451,14538.005,14486.561,14532.011,3510
2026-06-21 23:00:00,14531.977,14536.189,14515.535,14515.535,3517
2026-06-22 00:00:00,14515.519,14548.004,14508.38,14517.873,3524
2026-06-22 01:00:00,14517.851,14518.147,14483.863,14483.863,3540
2026-06-22 02:00:00,14483.837,14516.817,14478.67,14478.67,3520
2026-06-22 03:00:00,14478.66,14478.66,14440.516,14455.393,3533
2026-06-22 04:00:00,14455.383,14455.383,14422.197,14441.765,3517
2026-06-22 05:00:00,14441.759,14443.523,14411.149,14433.794,3515
2026-06-22 06:00:00,14433.764,14484.648,14428.281,14478.438,3540
2026-06-22 07:00:00,14478.417,14478.417,14426.253,14426.253,3534
2026-06-22 08:00:00,14426.245,14426.245,14384.967,14385.642,3540
2026-06-22 09:00:00,14385.618,14420.231,14372.697,14412.939,3539
2026-06-22 10:00:00,14412.937,14432.611,14392.052,14423.52,3533
2026-06-22 11:00:00,14423.503,14494.693,14413.594,14488.706,3528
2026-06-22 12:00:00,14488.704,14488.704,14447.455,14447.455,3534
2026-06-22 13:00:00,14447.451,14460.386,14427.385,14452.708,3523
2026-06-22 14:00:00,14452.696,14469.043,14434.868,14459.012,3541
2026-06-22 15:00:00,14459.01,14459.01,14430.495,14447.958,3532
2026-06-22 16:00:00,14447.947,14472.307,14430.701,14454.526,3535
2026-06-22 17:00:00,14454.521,14454.521,14404.748,14404.748,3527
2026-06-22 18:00:00,14404.737,14426.014,14378.854,14416.826,3538
2026-06-22 19:00:00,14416.811,14437.528,14401.12,14409.801,3524
2026-06-22 20:00:00,14409.774,14409.774,14358.792,14358.792,3516
2026-06-22 21:00:00,14358.79,14401.976,14351.76,14374.123,3525
2026-06-22 22:00:00,14374.114,14425.485,14372.866,14411.471,3520
2026-06-22 23:00:00,14411.456,14413.452,14383.924,14404.014,3536
2026-06-23 00:00:00,14404.006,14404.006,14372.436,14389.788,3518
2026-06-23 01:00:00,14389.775,14420.137,14380.47,14398.655,3526
2026-06-23 02:00:00,14398.652,14452.959,14383.098,14432.726,3530
2026-06-23 03:00:00,14432.691,14432.691,14404.102,14426.62,3537
2026-06-23 04:00:00,14426.607,14426.607,14398.562,14398.562,3537
2026-06-23 05:00:00,14398.556,14420.747,14380.616,14415.067,3523
2026-06-23 06:00:00,14415.065,14436.082,14378.685,14431.072,3531
2026-06-23 07:00:00,14431.057,14446.032,14417.676,14420.63,3509
2026-06-23 08:00:00,14420.615,14459.365,14417.457,14456.658,3528
2026-06-23 09:00:00,14456.634,14475.349,14438.824,14456.126,3534
2026-06-23 10:00:00,14456.118,14456.118,14408.431,14408.431,3541
2026-06-23 11:00:00,14408.427,14476.4,14403.04,14467.672,3531
2026-06-23 12:00:00,14467.645,14520.799,14466.682,14509.666,3529
2026-06-23 13:00:00,14509.648,14558.021,14494.839,14545.928,3532
2026-06-23 14:00:00,14545.918,14555.623,14520.53,14546.218,3534
2026-06-23 15:00:00,14546.19,14639.172,14530.848,14635.623,3530
2026-06-23 16:00:00,14635.598,14670.496,14625.759,14635.511,3548
2026-06-23 17:00:00,14635.489,14674.563,14611.838,14670.683,3538
2026-06-23 18:00:00,14670.651,14682.708,14642.476,14661.636,3538
2026-06-23 19:00:00,14661.626,14676.722,14633.954,14670.597,3539
2026-06-23 20:00:00,14670.582,14697.764,14659.44,14659.44,3530
2026-06-23 21:00:00,14659.417,14686.381,14650.168,14650.168,3499
2026-06-23 22:00:00,14650.151,14650.151,14609.654,14624.718,3521
2026-06-23 23:00:00,14624.705,14676.309,14624.58,14666.949,3541
2026-06-24 00:00:00,14666.939,14722.455,14663.968,14717.855,3538
2026-06-24 01:00:00,14717.852,14742.796,14687.344,14737.71,3524
2026-06-24 02:00:00,14737.702,14757.485,14713.508,14741.8,3533
2026-06-24 03:00:00,14741.775,14786.314,14732.768,14762.848,3538
2026-06-24 04:00:00,14762.822,14799.586,14740.44,14778.492,3527
2026-06-24 05:00:00,14778.464,14803.857,14772.448,14778.362,3534
2026-06-24 06:00:00,14778.324,14813.25,14769.696,14788.211,3543
2026-06-24 07:00:00,14788.196,14788.196,14747.644,14753.509,3535
2026-06-24 08:00:00,14753.498,14753.498,14719.564,14742.91,3530
2026-06-24 09:00:00,14742.91,14801.719,14729.719,14788.384,3533
2026-06-24 10:00:00,14788.38,14894.619,14787.443,14866.379,3534
2026-06-24 11:00:00,14866.351,14873.366,14840.004,14873.111,3529
2026-06-24 12:00:00,14873.085,14893.937,14866.068,14869.566,3529
2026-06-24 13:00:00,14869.555,14882.114,14843.424,14843.424,3529
2026-06-24 14:00:00,14843.413,14874.633,14838.746,14844.286,3523
2026-06-24 15:00:00,14844.261,14866.623,14832.795,14856.028,3519
2026-06-24 16:00:00,14856.017,14867.3,14827.066,14827.066,3532
2026-06-24 17:00:00,14827.048,14827.048,14787.349,14787.349,3524
2026-06-24 18:00:00,14787.326,14863.537,14783.211,14854.048,3544
2026-06-24 19:00:00,14854.046,14857.339,14824.768,14825.668,3521
2026-06-24 20:00:00,14825.656,14878.177,14814.445,14870.808,3546
2026-06-24 21:00:00,14870.787,14870.787,14843.065,14843.065,3530
2026-06-24 22:00:00,14843.032,14843.032,14814.935,14825.805,3532
2026-06-24 23:00:00,14825.801,14825.801,14786.019,14786.677,3528
2026-06-25 00:00:00,14786.663,14864.405,14775.436,14842.364,3538
2026-06-25 01:00:00,14842.342,14869.542,14827.051,14856.912,3532
2026-06-25 02:00:00,14856.894,14892.488,14845.351,14883.325,3545
2026-06-25 03:00:00,14883.315,14898.513,14866.413,14886.074,3542
2026-06-25 04:00:00,14886.069,14887.088,14841.466,14841.466,3524
2026-06-25 05:00:00,14841.459,14865.029,14826.652,14826.652,3539
2026-06-25 06:00:00,14826.604,14877.232,14809.088,14854.246,3529
2026-06-25 07:00:00,14854.224,14879.221,14841.079,14874.175,3529
2026-06-25 08:00:00,14874.169,14889.674,14854.33,14862.997,3532
2026-06-25 09:00:00,14862.99,14874.239,14838.391,14838.391,3534
2026-06-25 10:00:00,14838.353,14864.825,14829.996,14829.996,3540
2026-06-25 11:00:00,14829.989,14829.989,14783.803,14790.907,3527
2026-06-25 12:00:00,14790.894,14790.894,14753.102,14753.102,3530
2026-06-25 13:00:00,14753.094,14757.247,14714.976,14756.656,3532
2026-06-25 14:00:00,14756.655,14828.274,14734.76,14816.665,3541
2026-06-25 15:00:00,14816.643,14865.036,14806.144,14849.075,3532
2026-06-25 16:00:00,14849.067,14878.617,14845.004,14856.105,3536
2026-06-25 17:00:00,14856.086,14905.678,14855.825,14891.802,3534
2026-06-25 18:00:00,14891.794,14959.246,14890.855,14952.024,3537
2026-06-25 19:00:00,14951.998,14993.847,14945.492,14976.294,3539
2026-06-25 20:00:00,14976.287,14980.434,14931.319,14979.056,3538
2026-06-25 21:00:00,14979.046,14990.58,14959.546,14959.546,3546
2026-06-25 22:00:00,14959.523,14990.853,14945.432,14945.432,3535
2026-06-25 23:00:00,14945.425,14983.553,14944.379,14972.321,3542
2026-06-26 00:00:00,14972.283,14996.225,14970.277,14972.046,3544
2026-06-26 01:00:00,14972.033,14972.033,14920.798,14920.798,3529
2026-06-26 02:00:00,14920.774,14940.573,14896.199,14896.199,3525
2026-06-26 03:00:00,14896.175,14948.529,14894.611,14927.98,3522
2026-06-26 04:00:00,14927.974,14967.396,14919.494,14950.889,3534
2026-06-26 05:00:00,14950.867,14977.964,14933.745,14933.745,3545
2026-06-26 06:00:00,14933.731,14973.009,14933.032,14948.243,3532
2026-06-26 07:00:00,14948.234,14948.234,14910.772,14926.924,3545
2026-06-26 08:00:00,14926.912,14932.618,14893.145,14893.145,3542
2026-06-26 09:00:00,14893.124,14893.124,14867.781,14867.781,3518
2026-06-26 10:00:00,14867.747,14879.113,14838.144,14838.144,3545
2026-06-26 11:00:00,14838.143,14838.143,14785.322,14785.322,3532
2026-06-26 12:00:00,14785.312,14805.608,14773.504,14778.591,3535
2026-06-26 13:00:00,14778.585,14795.056,14742.852,14742.852,3522
2026-06-26 14:00:00,14742.835,14778.567,14735.754,14739.332,3539
2026-06-26 15:00:00,14739.327,14774.152,14721.436,14765.571,3534
2026-06-26 16:00:00,14765.559,14789.907,14750.232,14774.898,3501
2026-06-26 17:00:00,14774.898,14802.132,14757.779,14757.779,3534
2026-06-26 18:00:00,14757.75,14757.75,14719.554,14744.373,3532
2026-06-26 19:00:00,14744.364,14844.162,14733.435,14826.701,3543
2026-06-26 20:00:00,14826.678,14868.32,14824.167,14854.246,3519
2026-06-26 21:00:00,14854.24,14876.62,14841.702,14853.947,3539
2026-06-26 22:00:00,14853.931,14924.691,14853.115,14906.496,3532
2026-06-26 23:00:00,14906.495,14935.092,14893.605,14915.364,3531
2026-06-27 00:00:00,14915.352,14915.352,14882.311,14892.343,3538
2026-06-27 01:00:00,14892.314,14916.714,14879.062,14906.812,3532
2026-06-27 02:00:00,14906.795,14951.627,14897.908,14925.545,3530
2026-06-27 03:00:00,14925.522,14999.073,14908.69,14984.046,3532
2026-06-27 04:00:00,14984.025,14984.025,14929.989,14929.989,3545
2026-06-27 05:00:00,14929.96,14929.96,14880.262,14880.262,3540
